ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
2089,2,P&E Closing Action,102,SQD-80,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,166814,FA-18F,F-18 SUPERS,FIXED WING,7/26/2015 18:30,120,
2095,7,P&E Closing Action,102,SQD-80,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,166814,FA-18F,F-18 SUPERS,FIXED WING,7/27/2015 18:37,85,
2096,2,Complete,102,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165684,FA-18D,F-18 LEGACY,FIXED WING,7/28/2015 18:04,42,PANEL REPAIR
2097,2,Complete,102,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165411,FA-18D,F-18 LEGACY,FIXED WING,7/28/2015 18:18,120,
2099,2,Complete,102,SQD-119,Philippines,Philippines,PACIFIC,120.514596,15.180142,168006,MV-22B,V-22,ROTOR,7/28/2015 18:48,68,Crack
2100,2,Complete,102,SQD-4,NAF Misawa JP,Japan,PACIFIC,141.371341,40.704156,163056,MH-53E,H-53,ROTOR,7/28/2015 18:57,72,
2101,7,Passed for Action,102,SQD-13,Gimhae (KAL),Korea,PACIFIC,128.889352,35.269315,164539,CH-53E,H-53,ROTOR,7/28/2015 23:31,64,
2102,7,Complete,102,SQD-48,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,167022,MH-60R,H-60,ROTOR,7/29/2015 18:37,14,BUSHING REPAIR
2103,7,Complete,102,SQD-119,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,168012,MV-22B,V-22,ROTOR,7/29/2015 23:21,34,
2104,7,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164659,FA-18D,F-18 LEGACY,FIXED WING,7/30/2015 0:45,101,
2105,7,Cancelled,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165686,FA-18D,F-18 LEGACY,FIXED WING,7/30/2015 19:39,22,
2106,7,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164945,FA-18D,F-18 LEGACY,FIXED WING,7/31/2015 0:10,101,
2108,2,Complete,102,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165532,FA-18D,F-18 LEGACY,FIXED WING,8/2/2015 21:35,88,BUSHING REPAIR
2109,2,Squadron Cancellation,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165686,FA-18D,F-18 LEGACY,FIXED WING,8/2/2015 23:37,56,PANEL REPAIR
