ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1582,2,Complete,102,SQD-84,USS Bush,CVN,AFLOAT,64.618,7.8234,,166781,FA-18E,F-18 SUPERS,FIXED WING,10/2/2014 19:08,10,BUSHING REPAIR
1583,2,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167820,MH-60S,H-60,ROTOR,10/2/2014 23:21,22,CRACK
1584,2,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167820,MH-60S,H-60,ROTOR,10/2/2014 23:23,20,MINOR DEFECT
1585,2,Complete,102,SQD-120,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,168006,MV-22B,V-22,ROTOR,10/6/2014 19:39,18,CORROSION
1586,2,Complete,102,SQD-86,USS Bush,CVN,AFLOAT,64.618,7.8234,,164217,FA-18C,F-18 LEGACY,FIXED WING,10/6/2014 19:47,25,BUSHING REPAIR
1587,2,PMI Concurrent,102,SQD-33,NIPPI,Japan,PACIFIC,139.482422,35.569842,,167871,MH-60S,H-60,ROTOR,10/6/2014 20:05,25,MINOR DEFECT
1588,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164647,FA-18C,F-18 LEGACY,FIXED WING,10/6/2014 20:12,47,PANEL REPAIR
1589,2,Complete,102,SQD-45,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,163786,HH-60H,H-60,ROTOR,10/8/2014 20:38,22,MINOR DEFECT
1590,2,Complete,102,SQD-124,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,168220,MV-22B,V-22,ROTOR,10/8/2014 20:44,7,CORROSION
1591,2,Complete,102,SQD-103,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164670,FA-18D,F-18 LEGACY,FIXED WING,10/8/2014 23:48,29,FUEL CELL
1592,2,Cancelled,102,SQD-103,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164961,FA-18D,F-18 LEGACY,FIXED WING,10/8/2014 23:51,28,FUEL CELL
1594,2,Cancelled,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167820,MH-60S,H-60,ROTOR,10/13/2014 22:55,14,BUSHING REPAIR
1595,2,Complete,102,SQD-68,USS Bush,CVN,AFLOAT,64.618,7.8234,,165298,E-2C,E-2/C-2,FIXED WING,10/13/2014 23:13,14,MINOR DEFECT
1596,1,Passed for Action,102,SQD-126,Kuwait,Kuwait,CENTCOM,47.520832,29.346945,,167906,MV-22B,V-22,ROTOR,10/13/2014 23:18,16,MINOR DEFECT
1597,2,Cancelled,102,SQD-53,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,167017,MH-60R,H-60,ROTOR,10/13/2014 23:38,31,CRACK
1599,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164238,FA-18C,F-18 LEGACY,FIXED WING,10/13/2014 23:56,13,BUSHING REPAIR
1600,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164648,FA-18C,F-18 LEGACY,FIXED WING,10/14/2014 0:01,14,BUSHING REPAIR
1601,2,Complete,102,SQD-82,USS Vinson,CVN,AFLOAT,64.618,2.8234,,166804,FA-18F,F-18 SUPERS,FIXED WING,10/14/2014 0:26,29,MINOR DEFECT
1602,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164200,FA-18C,F-18 LEGACY,FIXED WING,10/14/2014 0:33,44,CRACK
1603,2,PMI Concurrent,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167889,MH-60S,H-60,ROTOR,10/15/2014 1:02,12,MINOR DEFECT
1604,2,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167820,MH-60S,H-60,ROTOR,10/15/2014 1:05,5,BUSHING REPAIR
1605,2,Complete,102,SQD-48,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,167021,MH-60R,H-60,ROTOR,10/15/2014 1:14,14,BUSHING REPAIR
1606,2,Complete,102,SQD-103,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164961,FA-18D,F-18 LEGACY,FIXED WING,10/16/2014 22:11,20,FUEL CELL
1608,1,Cancelled,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164210,FA-18C,F-18 LEGACY,FIXED WING,10/19/2014 19:20,28,BUSHING REPAIR
1609,1,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164227,FA-18C,F-18 LEGACY,FIXED WING,10/19/2014 19:26,24,BUSHING REPAIR
1610,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164210,FA-18C,F-18 LEGACY,FIXED WING,10/21/2014 0:17,55,CRACK
1611,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164660,FA-18C,F-18 LEGACY,FIXED WING,10/21/2014 0:21,13,CORROSION
1612,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164654,FA-18C,F-18 LEGACY,FIXED WING,10/21/2014 2:25,24,MINOR DEFECT
1614,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,162409,FA-18A,F-18 LEGACY,FIXED WING,10/26/2014 21:07,29,BUSHING REPAIR
1615,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,162469,FA-18A,F-18 LEGACY,FIXED WING,10/26/2014 21:12,8,BUSHING REPAIR
1616,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,163142,FA-18A,F-18 LEGACY,FIXED WING,10/26/2014 21:16,15,BUSHING REPAIR
1617,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,163167,FA-18A,F-18 LEGACY,FIXED WING,10/26/2014 21:20,18,BUSHING REPAIR
1618,2,Complete,102,SQD-58,USS Bush,CVN,AFLOAT,64.618,7.8234,,161884,EA-6B,EA-6B,FIXED WING,10/26/2014 21:29,29,MINOR DEFECT
1620,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164647,FA-18C,F-18 LEGACY,FIXED WING,10/26/2014 21:54,24,PANEL REPAIR
